country,year,month,pathogen,positive.ages.0.23,positive.ages.24.59
The Gambia,2009,4,Adenovirus 40/41,1.333333,0
The Gambia,2009,5,Adenovirus 40/41,0,0
The Gambia,2009,6,Adenovirus 40/41,1.25,0
The Gambia,2009,7,Adenovirus 40/41,6.674242,0
The Gambia,2009,8,Adenovirus 40/41,3.428571,0
The Gambia,2009,9,Adenovirus 40/41,0,0
The Gambia,2009,10,Adenovirus 40/41,0,0
The Gambia,2009,11,Adenovirus 40/41,0,0
The Gambia,2009,12,Adenovirus 40/41,0,0
The Gambia,2010,1,Adenovirus 40/41,1.818182,0
The Gambia,2010,2,Adenovirus 40/41,0,0
The Gambia,2010,3,Adenovirus 40/41,0,0
The Gambia,2010,4,Adenovirus 40/41,0,0
The Gambia,2010,5,Adenovirus 40/41,3.333333,0
The Gambia,2010,6,Adenovirus 40/41,1.2,0
The Gambia,2010,7,Adenovirus 40/41,2.25,0
The Gambia,2010,8,Adenovirus 40/41,5,0
The Gambia,2010,9,Adenovirus 40/41,0,0
The Gambia,2010,10,Adenovirus 40/41,0,0
The Gambia,2010,11,Adenovirus 40/41,0,0
The Gambia,2010,12,Adenovirus 40/41,0,0
Mali,2007,12,all MSD,5,0
Mali,2008,1,all MSD,17.8,5
Mali,2008,2,all MSD,28.13333,10
Mali,2008,3,all MSD,27.1619,12
Mali,2008,4,all MSD,32.90476,7
Mali,2008,5,all MSD,56,5
Mali,2008,6,all MSD,66.14286,11
Mali,2008,7,all MSD,159.1905,30
Mali,2008,8,all MSD,142,24.14286
Mali,2008,9,all MSD,96.66667,27.85714
Mali,2008,10,all MSD,115,19
Mali,2008,11,all MSD,117,31
Mali,2008,12,all MSD,191.7778,20.22222
Mali,2009,1,all MSD,98.66667,20.11111
Mali,2009,2,all MSD,83.33333,23.44444
Mali,2009,3,all MSD,62.12222,26.77778
Mali,2009,4,all MSD,107.1,17.44444
Mali,2009,5,all MSD,113,39
Mali,2009,6,all MSD,198,36.22222
Mali,2009,7,all MSD,88.5,24.77778
Mali,2009,8,all MSD,108.5,24
Mali,2009,9,all MSD,85,22.88889
Mali,2009,10,all MSD,77,22.11111
Mali,2009,11,all MSD,78.88889,28
Mali,2009,12,all MSD,68.55556,19
Mali,2010,1,all MSD,47.77778,29.33333
Mali,2010,2,all MSD,44.11111,18
Mali,2010,3,all MSD,56.66667,25.22222
Mali,2010,4,all MSD,57,20.44444
Mali,2010,5,all MSD,46.11111,23
Mali,2010,6,all MSD,57.34343,21
Mali,2010,7,all MSD,49.87879,19.66667
Mali,2010,8,all MSD,66.66667,25.44444
Mali,2010,9,all MSD,50,21.88889
Mali,2010,10,all MSD,56,20
Mali,2010,11,all MSD,58.66667,26
Mali,2010,12,all MSD,34.33333,7
Mali,2007,12,Aeromonas,0,0
Mali,2008,1,Aeromonas,0,0
Mali,2008,2,Aeromonas,1,0
Mali,2008,3,Aeromonas,0,0
Mali,2008,4,Aeromonas,0,0
Mali,2008,5,Aeromonas,0,0
Mali,2008,6,Aeromonas,0,0
Mali,2008,7,Aeromonas,0,0
Mali,2008,8,Aeromonas,0,0
Mali,2008,9,Aeromonas,0,0
Mali,2008,10,Aeromonas,0,0
Mali,2008,11,Aeromonas,0,0
Mali,2008,12,Aeromonas,0,0
Mali,2009,1,Aeromonas,0,0
Mali,2009,2,Aeromonas,0,0
Mali,2009,3,Aeromonas,0,0
Mali,2009,4,Aeromonas,0,0
Mali,2009,5,Aeromonas,0,0
Mali,2009,6,Aeromonas,0,1.444444
Mali,2009,7,Aeromonas,0,1
Mali,2009,8,Aeromonas,0,0
Mali,2009,9,Aeromonas,0,0
Mali,2009,10,Aeromonas,0,0
Mali,2009,11,Aeromonas,0,0
Mali,2009,12,Aeromonas,0,0
Mali,2010,1,Aeromonas,0,0
Mali,2010,2,Aeromonas,0,0
Mali,2010,3,Aeromonas,0,0
Mali,2010,4,Aeromonas,1.5,0
Mali,2010,5,Aeromonas,0,0
Mali,2010,6,Aeromonas,0,0
Mali,2010,7,Aeromonas,0,0
Mali,2010,8,Aeromonas,0,0
Mali,2010,9,Aeromonas,0,0
Mali,2010,10,Aeromonas,0,0
Mali,2010,11,Aeromonas,0,0
Mali,2010,12,Aeromonas,0,0
Mali,2007,12,C coli or jejuni,0,0
Mali,2008,1,C coli or jejuni,0,0
Mali,2008,2,C coli or jejuni,2.311111,1
Mali,2008,3,C coli or jejuni,1.2,1
Mali,2008,4,C coli or jejuni,1.111111,0
Mali,2008,5,C coli or jejuni,0,0
Mali,2008,6,C coli or jejuni,0,0
Mali,2008,7,C coli or jejuni,0,0
Mali,2008,8,C coli or jejuni,0,0
Mali,2008,9,C coli or jejuni,0,0
Mali,2008,10,C coli or jejuni,0,0
Mali,2008,11,C coli or jejuni,0,0
Mali,2008,12,C coli or jejuni,0,0
Mali,2009,1,C coli or jejuni,0,0
Mali,2009,2,C coli or jejuni,0,0
Mali,2009,3,C coli or jejuni,0,0
Mali,2009,4,C coli or jejuni,0,0
Mali,2009,5,C coli or jejuni,0,0
Mali,2009,6,C coli or jejuni,0,0
Mali,2009,7,C coli or jejuni,0,0
Mali,2009,8,C coli or jejuni,0,0
Mali,2009,9,C coli or jejuni,0,0
Mali,2009,10,C coli or jejuni,0,0
Mali,2009,11,C coli or jejuni,0,0
Mali,2009,12,C coli or jejuni,0,0
Mali,2010,1,C coli or jejuni,0,0
Mali,2010,2,C coli or jejuni,0,0
Mali,2010,3,C coli or jejuni,0,0
Mali,2010,4,C coli or jejuni,4.333333,0
Mali,2010,5,C coli or jejuni,3.555556,2.222222
Mali,2010,6,C coli or jejuni,1.666667,2
Mali,2010,7,C coli or jejuni,6.222222,1.222222
Mali,2010,8,C coli or jejuni,8.233333,3.622222
Mali,2010,9,C coli or jejuni,4.988889,3
Mali,2010,10,C coli or jejuni,8.888889,0
Mali,2010,11,C coli or jejuni,1.111111,1.222222
Mali,2010,12,C coli or jejuni,2,1
Mali,2007,12,Shigella,0,0
Mali,2008,1,Shigella,0,0
Mali,2008,2,Shigella,1,0
Mali,2008,3,Shigella,2.333333,0
